"YY","MM","DD","hh","mm","WDIR","WSPD","GST","WVHT","DPD","APD","MWD","PRES","ATMP","WTMP","DEWP","VIS","PTDY","TIDE","Date"
2022,1,28,12,35,350,11.3,NA,NA,NA,NA,NA,NA,12,NA,5,8.7,NA,NA,2022-01-28 12:35:00
2022,1,28,12,15,350,9.8,NA,NA,NA,NA,NA,NA,12,NA,5,8.7,NA,NA,2022-01-28 12:15:00
2022,1,28,11,55,350,9.8,14.4,NA,NA,NA,NA,NA,12,NA,5,8.7,NA,NA,2022-01-28 11:55:00
2022,1,28,11,35,350,10.3,NA,NA,NA,NA,NA,NA,13,NA,6,8.7,NA,NA,2022-01-28 11:35:00
2022,1,28,11,15,350,10.8,NA,NA,NA,NA,NA,NA,12,NA,6,8.7,NA,NA,2022-01-28 11:15:00
2022,1,28,10,55,350,9.8,NA,NA,NA,NA,NA,NA,13,NA,7,8.7,NA,NA,2022-01-28 10:55:00
2022,1,28,10,35,350,9.3,NA,NA,NA,NA,NA,NA,13,NA,6,8.7,NA,NA,2022-01-28 10:35:00
2022,1,28,10,15,350,8.2,NA,NA,NA,NA,NA,NA,13,NA,7,8.7,NA,NA,2022-01-28 10:15:00
2022,1,28,9,55,350,8.2,NA,NA,NA,NA,NA,NA,13,NA,7,8.7,NA,NA,2022-01-28 09:55:00
2022,1,28,9,35,350,7.7,NA,NA,NA,NA,NA,NA,13,NA,7,8.7,NA,NA,2022-01-28 09:35:00
2022,1,28,9,15,340,8.8,NA,NA,NA,NA,NA,NA,13,NA,7,8.7,NA,NA,2022-01-28 09:15:00
2022,1,28,8,50,330,6.7,NA,NA,NA,NA,NA,NA,13,NA,8,8.7,NA,NA,2022-01-28 08:50:00
2022,1,28,8,35,320,7.2,NA,NA,NA,NA,NA,NA,13,NA,7,8.7,NA,NA,2022-01-28 08:35:00
2022,1,28,8,15,320,8.2,NA,NA,NA,NA,NA,NA,14,NA,7,8.7,NA,NA,2022-01-28 08:15:00
2022,1,28,7,55,320,8.2,NA,NA,NA,NA,NA,NA,14,NA,7,8.7,NA,NA,2022-01-28 07:55:00
2022,1,28,7,35,330,6.7,NA,NA,NA,NA,NA,NA,14,NA,6,8.7,NA,NA,2022-01-28 07:35:00
2022,1,28,7,15,330,8.2,NA,NA,NA,NA,NA,NA,14,NA,4,8.7,NA,NA,2022-01-28 07:15:00
2022,1,28,6,55,340,7.7,NA,NA,NA,NA,NA,NA,14,NA,5,8.7,NA,NA,2022-01-28 06:55:00
2022,1,28,6,35,330,7.7,NA,NA,NA,NA,NA,NA,15,NA,5,8.7,NA,NA,2022-01-28 06:35:00
2022,1,28,6,15,330,7.7,NA,NA,NA,NA,NA,NA,15,NA,8,8.7,NA,NA,2022-01-28 06:15:00
2022,1,28,5,55,330,5.1,NA,NA,NA,NA,NA,NA,16,NA,9,8.7,NA,NA,2022-01-28 05:55:00
2022,1,28,5,35,340,4.1,NA,NA,NA,NA,NA,NA,16,NA,9,8.7,NA,NA,2022-01-28 05:35:00
2022,1,28,5,15,340,4.6,NA,NA,NA,NA,NA,NA,16,NA,9,8.7,NA,NA,2022-01-28 05:15:00
2022,1,28,4,55,360,4.1,NA,NA,NA,NA,NA,NA,16,NA,9,8.7,NA,NA,2022-01-28 04:55:00
2022,1,28,4,35,10,4.1,NA,NA,NA,NA,NA,NA,16,NA,9,8.7,NA,NA,2022-01-28 04:35:00
2022,1,28,4,15,360,3.1,NA,NA,NA,NA,NA,NA,16,NA,10,8.7,NA,NA,2022-01-28 04:15:00
2022,1,28,3,55,20,3.6,NA,NA,NA,NA,NA,NA,16,NA,10,8.7,NA,NA,2022-01-28 03:55:00
2022,1,28,3,35,20,4.1,NA,NA,NA,NA,NA,NA,16,NA,10,8.7,NA,NA,2022-01-28 03:35:00
2022,1,28,3,10,40,4.6,NA,NA,NA,NA,NA,NA,16,NA,10,8.7,NA,NA,2022-01-28 03:10:00
2022,1,28,2,55,30,5.1,NA,NA,NA,NA,NA,NA,16,NA,10,8.7,NA,NA,2022-01-28 02:55:00
2022,1,28,2,35,40,5.7,NA,NA,NA,NA,NA,NA,16,NA,10,8.7,NA,NA,2022-01-28 02:35:00
2022,1,28,2,15,20,5.1,NA,NA,NA,NA,NA,NA,16,NA,10,8.7,NA,NA,2022-01-28 02:15:00
2022,1,28,1,55,30,4.1,NA,NA,NA,NA,NA,NA,16,NA,11,8.7,NA,NA,2022-01-28 01:55:00
2022,1,28,1,35,30,4.6,NA,NA,NA,NA,NA,NA,16,NA,11,8.7,NA,NA,2022-01-28 01:35:00
2022,1,28,1,15,40,2.6,NA,NA,NA,NA,NA,NA,16,NA,11,8.7,NA,NA,2022-01-28 01:15:00
2022,1,28,0,55,40,3.6,NA,NA,NA,NA,NA,NA,16,NA,11,8.7,NA,NA,2022-01-28 00:55:00
2022,1,28,0,35,40,4.6,NA,NA,NA,NA,NA,NA,16,NA,11,8.7,NA,NA,2022-01-28 00:35:00
2022,1,28,0,15,70,4.1,NA,NA,NA,NA,NA,NA,16,NA,11,8.7,NA,NA,2022-01-28 00:15:00
2022,1,27,23,55,60,3.6,NA,NA,NA,NA,NA,NA,16,NA,11,8.7,NA,NA,2022-01-27 23:55:00
2022,1,27,23,35,NA,2.6,6.2,NA,NA,NA,NA,NA,16,NA,10,7.8,NA,NA,2022-01-27 23:35:00
2022,1,27,23,15,70,4.6,NA,NA,NA,NA,NA,NA,16,NA,10,6.1,NA,NA,2022-01-27 23:15:00
2022,1,27,22,55,70,4.6,NA,NA,NA,NA,NA,NA,17,NA,10,8.7,NA,NA,2022-01-27 22:55:00
2022,1,27,22,35,60,5.7,NA,NA,NA,NA,NA,NA,17,NA,10,8.7,NA,NA,2022-01-27 22:35:00
2022,1,27,22,15,70,6.2,NA,NA,NA,NA,NA,NA,17,NA,9,8.7,NA,NA,2022-01-27 22:15:00
2022,1,27,21,55,60,4.6,NA,NA,NA,NA,NA,NA,17,NA,9,8.7,NA,NA,2022-01-27 21:55:00
2022,1,27,21,30,50,3.1,NA,NA,NA,NA,NA,NA,17,NA,8,8.7,NA,NA,2022-01-27 21:30:00
2022,1,27,21,15,50,4.1,NA,NA,NA,NA,NA,NA,17,NA,9,8.7,NA,NA,2022-01-27 21:15:00
2022,1,27,20,55,60,3.1,NA,NA,NA,NA,NA,NA,17,NA,8,8.7,NA,NA,2022-01-27 20:55:00
2022,1,27,20,35,60,4.6,NA,NA,NA,NA,NA,NA,17,NA,10,8.7,NA,NA,2022-01-27 20:35:00
2022,1,27,20,10,70,3.6,NA,NA,NA,NA,NA,NA,16,NA,11,8.7,NA,NA,2022-01-27 20:10:00
2022,1,27,19,55,NA,2.1,5.1,NA,NA,NA,NA,NA,17,NA,11,8.7,NA,NA,2022-01-27 19:55:00
2022,1,27,19,35,70,4.1,NA,NA,NA,NA,NA,NA,17,NA,12,8.7,NA,NA,2022-01-27 19:35:00
2022,1,27,19,15,80,3.6,NA,NA,NA,NA,NA,NA,17,NA,12,8.7,NA,NA,2022-01-27 19:15:00
2022,1,27,18,55,80,3.6,NA,NA,NA,NA,NA,NA,16,NA,12,8.7,NA,NA,2022-01-27 18:55:00
2022,1,27,18,35,NA,3.1,6.2,NA,NA,NA,NA,NA,16,NA,12,8.7,NA,NA,2022-01-27 18:35:00
2022,1,27,18,15,80,4.6,NA,NA,NA,NA,NA,NA,16,NA,11,8.7,NA,NA,2022-01-27 18:15:00
2022,1,27,17,55,80,5.7,NA,NA,NA,NA,NA,NA,16,NA,11,8.7,NA,NA,2022-01-27 17:55:00
2022,1,27,17,35,70,7.7,NA,NA,NA,NA,NA,NA,15,NA,11,8.7,NA,NA,2022-01-27 17:35:00
2022,1,27,17,15,80,6.7,NA,NA,NA,NA,NA,NA,15,NA,11,8.7,NA,NA,2022-01-27 17:15:00
2022,1,27,16,55,80,7.7,NA,NA,NA,NA,NA,NA,15,NA,11,8.7,NA,NA,2022-01-27 16:55:00
2022,1,27,16,35,70,8.2,NA,NA,NA,NA,NA,NA,15,NA,10,8.7,NA,NA,2022-01-27 16:35:00
2022,1,27,16,15,70,7.2,NA,NA,NA,NA,NA,NA,15,NA,10,8.7,NA,NA,2022-01-27 16:15:00
2022,1,27,15,50,70,6.2,NA,NA,NA,NA,NA,NA,15,NA,10,8.7,NA,NA,2022-01-27 15:50:00
2022,1,27,15,35,80,5.7,NA,NA,NA,NA,NA,NA,15,NA,10,8.7,NA,NA,2022-01-27 15:35:00
2022,1,27,15,15,70,6.2,NA,NA,NA,NA,NA,NA,15,NA,10,8.7,NA,NA,2022-01-27 15:15:00
2022,1,27,14,55,70,6.2,NA,NA,NA,NA,NA,NA,15,NA,9,8.7,NA,NA,2022-01-27 14:55:00
2022,1,27,14,35,70,6.7,NA,NA,NA,NA,NA,NA,15,NA,9,8.7,NA,NA,2022-01-27 14:35:00
2022,1,27,14,15,70,6.2,NA,NA,NA,NA,NA,NA,15,NA,9,8.7,NA,NA,2022-01-27 14:15:00
2022,1,27,13,55,70,6.7,NA,NA,NA,NA,NA,NA,15,NA,9,8.7,NA,NA,2022-01-27 13:55:00
2022,1,27,13,35,70,6.2,9.3,NA,NA,NA,NA,NA,14,NA,9,8.7,NA,NA,2022-01-27 13:35:00
2022,1,27,13,15,70,6.7,NA,NA,NA,NA,NA,NA,14,NA,9,8.7,NA,NA,2022-01-27 13:15:00
2022,1,27,12,55,70,6.2,NA,NA,NA,NA,NA,NA,14,NA,8,8.7,NA,NA,2022-01-27 12:55:00
2022,1,27,12,35,60,7.2,NA,NA,NA,NA,NA,NA,14,NA,9,8.7,NA,NA,2022-01-27 12:35:00
2022,1,27,12,15,70,6.2,NA,NA,NA,NA,NA,NA,14,NA,8,8.7,NA,NA,2022-01-27 12:15:00
2022,1,27,11,55,70,6.2,NA,NA,NA,NA,NA,NA,14,NA,8,8.7,NA,NA,2022-01-27 11:55:00
2022,1,27,11,35,70,6.7,NA,NA,NA,NA,NA,NA,14,NA,8,8.7,NA,NA,2022-01-27 11:35:00
2022,1,27,11,15,70,7.2,NA,NA,NA,NA,NA,NA,14,NA,8,8.7,NA,NA,2022-01-27 11:15:00
2022,1,27,10,55,70,5.7,NA,NA,NA,NA,NA,NA,14,NA,8,8.7,NA,NA,2022-01-27 10:55:00
2022,1,27,10,35,70,4.6,NA,NA,NA,NA,NA,NA,14,NA,7,8.7,NA,NA,2022-01-27 10:35:00
2022,1,27,10,10,70,6.2,NA,NA,NA,NA,NA,NA,14,NA,7,8.7,NA,NA,2022-01-27 10:10:00
2022,1,27,9,55,80,4.1,7.7,NA,NA,NA,NA,NA,14,NA,7,8.7,NA,NA,2022-01-27 09:55:00
2022,1,27,9,35,70,6.2,NA,NA,NA,NA,NA,NA,14,NA,7,8.7,NA,NA,2022-01-27 09:35:00
2022,1,27,9,15,80,4.6,8.8,NA,NA,NA,NA,NA,14,NA,7,8.7,NA,NA,2022-01-27 09:15:00
2022,1,27,8,55,80,5.1,8.8,NA,NA,NA,NA,NA,14,NA,7,8.7,NA,NA,2022-01-27 08:55:00
2022,1,27,8,35,80,5.7,9.3,NA,NA,NA,NA,NA,14,NA,6,8.7,NA,NA,2022-01-27 08:35:00
2022,1,27,8,15,80,5.1,8.8,NA,NA,NA,NA,NA,14,NA,6,8.7,NA,NA,2022-01-27 08:15:00
2022,1,27,7,55,80,5.1,9.3,NA,NA,NA,NA,NA,14,NA,6,8.7,NA,NA,2022-01-27 07:55:00
2022,1,27,7,35,80,5.1,10.8,NA,NA,NA,NA,NA,14,NA,6,8.7,NA,NA,2022-01-27 07:35:00
2022,1,27,7,15,80,6.7,11.3,NA,NA,NA,NA,NA,14,NA,5,8.7,NA,NA,2022-01-27 07:15:00
2022,1,27,6,55,70,10.3,NA,NA,NA,NA,NA,NA,14,NA,5,8.7,NA,NA,2022-01-27 06:55:00
2022,1,27,6,35,80,9.8,12.9,NA,NA,NA,NA,NA,14,NA,5,8.7,NA,NA,2022-01-27 06:35:00
2022,1,27,6,15,80,8.2,12.9,NA,NA,NA,NA,NA,14,NA,5,8.7,NA,NA,2022-01-27 06:15:00
2022,1,27,5,55,80,8.2,12.4,NA,NA,NA,NA,NA,14,NA,4,8.7,NA,NA,2022-01-27 05:55:00
2022,1,27,5,35,80,9.8,NA,NA,NA,NA,NA,NA,14,NA,4,8.7,NA,NA,2022-01-27 05:35:00
2022,1,27,5,15,80,8.8,11.3,NA,NA,NA,NA,NA,14,NA,4,8.7,NA,NA,2022-01-27 05:15:00
2022,1,27,4,55,80,9.8,12.9,NA,NA,NA,NA,NA,14,NA,4,8.7,NA,NA,2022-01-27 04:55:00
2022,1,27,4,30,70,11.8,NA,NA,NA,NA,NA,NA,14,NA,4,8.7,NA,NA,2022-01-27 04:30:00
2022,1,27,4,15,70,11.3,NA,NA,NA,NA,NA,NA,14,NA,3,8.7,NA,NA,2022-01-27 04:15:00
2022,1,27,3,55,70,11.3,NA,NA,NA,NA,NA,NA,14,NA,3,8.7,NA,NA,2022-01-27 03:55:00
2022,1,27,3,35,70,11.8,NA,NA,NA,NA,NA,NA,14,NA,3,8.7,NA,NA,2022-01-27 03:35:00
2022,1,27,3,15,60,11.8,NA,NA,NA,NA,NA,NA,14,NA,3,8.7,NA,NA,2022-01-27 03:15:00
2022,1,27,2,55,70,12.9,NA,NA,NA,NA,NA,NA,14,NA,3,8.7,NA,NA,2022-01-27 02:55:00
2022,1,27,2,35,60,12.9,NA,NA,NA,NA,NA,NA,14,NA,3,8.7,NA,NA,2022-01-27 02:35:00
2022,1,27,2,15,50,12.4,NA,NA,NA,NA,NA,NA,15,NA,3,8.7,NA,NA,2022-01-27 02:15:00
2022,1,27,1,55,60,11.3,NA,NA,NA,NA,NA,NA,15,NA,3,8.7,NA,NA,2022-01-27 01:55:00
2022,1,27,1,35,60,9.8,NA,NA,NA,NA,NA,NA,15,NA,4,8.7,NA,NA,2022-01-27 01:35:00
2022,1,27,1,15,50,9.8,NA,NA,NA,NA,NA,NA,15,NA,3,8.7,NA,NA,2022-01-27 01:15:00
2022,1,27,0,55,50,10.3,NA,NA,NA,NA,NA,NA,15,NA,3,8.7,NA,NA,2022-01-27 00:55:00
2022,1,27,0,35,50,10.3,NA,NA,NA,NA,NA,NA,15,NA,3,8.7,NA,NA,2022-01-27 00:35:00
2022,1,27,0,15,50,9.8,12.4,NA,NA,NA,NA,NA,15,NA,3,8.7,NA,NA,2022-01-27 00:15:00
2022,1,26,23,55,60,10.3,NA,NA,NA,NA,NA,NA,15,NA,3,8.7,NA,NA,2022-01-26 23:55:00
2022,1,26,23,35,50,10.3,NA,NA,NA,NA,NA,NA,15,NA,3,0.2,NA,NA,2022-01-26 23:35:00
2022,1,26,23,15,50,9.3,11.8,NA,NA,NA,NA,NA,14,NA,4,0.2,NA,NA,2022-01-26 23:15:00
2022,1,26,22,50,50,10.3,12.9,NA,NA,NA,NA,NA,14,NA,3,NA,NA,NA,2022-01-26 22:50:00
2022,1,26,22,35,50,9.8,12.4,NA,NA,NA,NA,NA,14,NA,5,8.7,NA,NA,2022-01-26 22:35:00
2022,1,26,22,15,50,8.8,NA,NA,NA,NA,NA,NA,14,NA,5,8.7,NA,NA,2022-01-26 22:15:00
2022,1,26,21,55,50,9.8,NA,NA,NA,NA,NA,NA,14,NA,5,8.7,NA,NA,2022-01-26 21:55:00
2022,1,26,21,35,50,9.8,NA,NA,NA,NA,NA,NA,14,NA,5,8.7,NA,NA,2022-01-26 21:35:00
2022,1,26,21,15,50,9.8,NA,NA,NA,NA,NA,NA,13,NA,5,8.7,NA,NA,2022-01-26 21:15:00
2022,1,26,20,55,50,10.3,NA,NA,NA,NA,NA,NA,13,NA,5,8.7,NA,NA,2022-01-26 20:55:00
2022,1,26,20,35,60,10.8,13.4,NA,NA,NA,NA,NA,13,NA,5,8.7,NA,NA,2022-01-26 20:35:00
2022,1,26,20,15,50,10.8,13.4,NA,NA,NA,NA,NA,13,NA,6,8.7,NA,NA,2022-01-26 20:15:00
2022,1,26,19,55,50,11.3,13.9,NA,NA,NA,NA,NA,13,NA,6,8.7,NA,NA,2022-01-26 19:55:00
2022,1,26,19,35,60,10.8,14.4,NA,NA,NA,NA,NA,13,NA,7,8.7,NA,NA,2022-01-26 19:35:00
2022,1,26,19,15,50,12.4,14.9,NA,NA,NA,NA,NA,12,NA,7,8.7,NA,NA,2022-01-26 19:15:00
2022,1,26,18,55,50,12.4,14.9,NA,NA,NA,NA,NA,12,NA,7,8.7,NA,NA,2022-01-26 18:55:00
2022,1,26,18,35,50,12.9,15.4,NA,NA,NA,NA,NA,12,NA,7,8.7,NA,NA,2022-01-26 18:35:00
2022,1,26,18,15,50,12.4,NA,NA,NA,NA,NA,NA,13,NA,8,8.7,NA,NA,2022-01-26 18:15:00
2022,1,26,17,55,50,12.4,14.9,NA,NA,NA,NA,NA,12,NA,8,8.7,NA,NA,2022-01-26 17:55:00
2022,1,26,17,35,60,12.4,15.4,NA,NA,NA,NA,NA,12,NA,8,8.7,NA,NA,2022-01-26 17:35:00
2022,1,26,17,10,60,13.4,NA,NA,NA,NA,NA,NA,12,NA,8,8.7,NA,NA,2022-01-26 17:10:00
2022,1,26,16,55,60,16,NA,NA,NA,NA,NA,NA,12,NA,8,8.7,NA,NA,2022-01-26 16:55:00
2022,1,26,16,35,50,15.4,NA,NA,NA,NA,NA,NA,11,NA,8,8.7,NA,NA,2022-01-26 16:35:00
2022,1,26,16,15,50,14.4,NA,NA,NA,NA,NA,NA,11,NA,8,8.7,NA,NA,2022-01-26 16:15:00
2022,1,26,15,55,50,14.4,NA,NA,NA,NA,NA,NA,11,NA,8,8.7,NA,NA,2022-01-26 15:55:00
2022,1,26,15,35,50,13.9,NA,NA,NA,NA,NA,NA,11,NA,8,8.7,NA,NA,2022-01-26 15:35:00
2022,1,26,15,15,50,13.9,NA,NA,NA,NA,NA,NA,12,NA,8,8.7,NA,NA,2022-01-26 15:15:00
2022,1,26,14,55,50,13.4,16.5,NA,NA,NA,NA,NA,11,NA,8,8.7,NA,NA,2022-01-26 14:55:00
2022,1,26,14,35,50,14.4,17.5,NA,NA,NA,NA,NA,12,NA,8,8.7,NA,NA,2022-01-26 14:35:00
2022,1,26,14,15,50,13.9,NA,NA,NA,NA,NA,NA,12,NA,8,8.7,NA,NA,2022-01-26 14:15:00
2022,1,26,13,55,60,15.4,NA,NA,NA,NA,NA,NA,12,NA,8,8.7,NA,NA,2022-01-26 13:55:00
2022,1,26,13,35,50,14.4,17.5,NA,NA,NA,NA,NA,12,NA,8,8.7,NA,NA,2022-01-26 13:35:00
2022,1,26,13,15,50,14.4,17,NA,NA,NA,NA,NA,12,NA,8,8.7,NA,NA,2022-01-26 13:15:00
2022,1,26,12,55,50,14.9,18,NA,NA,NA,NA,NA,12,NA,8,8.7,NA,NA,2022-01-26 12:55:00
2022,1,26,12,35,60,15.4,19,NA,NA,NA,NA,NA,13,NA,9,8.7,NA,NA,2022-01-26 12:35:00
2022,1,26,12,15,60,15.4,19,NA,NA,NA,NA,NA,13,NA,9,8.7,NA,NA,2022-01-26 12:15:00
2022,1,26,11,55,50,14.9,18.5,NA,NA,NA,NA,NA,13,NA,9,8.7,NA,NA,2022-01-26 11:55:00
2022,1,26,11,30,50,15.4,NA,NA,NA,NA,NA,NA,13,NA,9,8.7,NA,NA,2022-01-26 11:30:00
2022,1,26,11,15,60,16.5,NA,NA,NA,NA,NA,NA,13,NA,9,8.7,NA,NA,2022-01-26 11:15:00
2022,1,26,10,55,60,16,NA,NA,NA,NA,NA,NA,13,NA,9,8.7,NA,NA,2022-01-26 10:55:00
2022,1,26,10,35,50,15.4,18,NA,NA,NA,NA,NA,13,NA,9,8.7,NA,NA,2022-01-26 10:35:00
2022,1,26,10,15,50,14.9,18.5,NA,NA,NA,NA,NA,13,NA,10,8.7,NA,NA,2022-01-26 10:15:00
2022,1,26,9,55,50,15.4,NA,NA,NA,NA,NA,NA,13,NA,10,8.7,NA,NA,2022-01-26 09:55:00
2022,1,26,9,35,50,15.4,NA,NA,NA,NA,NA,NA,13,NA,10,8.7,NA,NA,2022-01-26 09:35:00
2022,1,26,9,15,40,14.9,NA,NA,NA,NA,NA,NA,13,NA,10,8.7,NA,NA,2022-01-26 09:15:00
2022,1,26,8,55,50,15.4,NA,NA,NA,NA,NA,NA,14,NA,10,8.7,NA,NA,2022-01-26 08:55:00
2022,1,26,8,35,50,15.4,NA,NA,NA,NA,NA,NA,14,NA,10,8.7,NA,NA,2022-01-26 08:35:00
2022,1,26,8,15,50,13.9,16.5,NA,NA,NA,NA,NA,14,NA,10,8.7,NA,NA,2022-01-26 08:15:00
2022,1,26,7,55,60,13.9,NA,NA,NA,NA,NA,NA,15,NA,10,8.7,NA,NA,2022-01-26 07:55:00
2022,1,26,7,35,60,13.9,16.5,NA,NA,NA,NA,NA,15,NA,10,8.7,NA,NA,2022-01-26 07:35:00
2022,1,26,7,15,50,15.4,NA,NA,NA,NA,NA,NA,15,NA,9,8.7,NA,NA,2022-01-26 07:15:00
2022,1,26,6,55,50,14.4,NA,NA,NA,NA,NA,NA,15,NA,9,8.7,NA,NA,2022-01-26 06:55:00
2022,1,26,6,30,60,13.4,17,NA,NA,NA,NA,NA,15,NA,9,8.7,NA,NA,2022-01-26 06:30:00
2022,1,26,6,15,60,15.4,NA,NA,NA,NA,NA,NA,15,NA,9,8.7,NA,NA,2022-01-26 06:15:00
2022,1,26,5,50,60,16.5,19,NA,NA,NA,NA,NA,15,NA,10,8.7,NA,NA,2022-01-26 05:50:00
2022,1,26,5,35,70,17,21.1,NA,NA,NA,NA,NA,16,NA,9,8.7,NA,NA,2022-01-26 05:35:00
2022,1,26,5,15,60,17.5,20.1,NA,NA,NA,NA,NA,16,NA,10,8.7,NA,NA,2022-01-26 05:15:00
2022,1,26,4,55,70,18.5,NA,NA,NA,NA,NA,NA,16,NA,10,8.7,NA,NA,2022-01-26 04:55:00
2022,1,26,4,35,70,18,NA,NA,NA,NA,NA,NA,16,NA,9,8.7,NA,NA,2022-01-26 04:35:00
2022,1,26,4,15,70,18,20.6,NA,NA,NA,NA,NA,15,NA,10,8.7,NA,NA,2022-01-26 04:15:00
2022,1,26,3,55,70,18,NA,NA,NA,NA,NA,NA,15,NA,12,8.7,NA,NA,2022-01-26 03:55:00
