"YY","MM","DD","hh","mm","WDIR","WSPD","GST","WVHT","DPD","APD","MWD","PRES","ATMP","WTMP","DEWP","VIS","PTDY","TIDE","Date"
2021,12,21,4,35,20,7.7,NA,NA,NA,NA,NA,NA,18,NA,16,1.7,NA,NA,2021-12-21 04:35:00
2021,12,21,4,15,20,7.7,11.8,NA,NA,NA,NA,NA,18,NA,15,4.3,NA,NA,2021-12-21 04:15:00
2021,12,21,3,55,30,6.2,NA,NA,NA,NA,NA,NA,19,NA,15,6.1,NA,NA,2021-12-21 03:55:00
2021,12,21,3,35,30,8.2,10.8,NA,NA,NA,NA,NA,19,NA,14,8.7,NA,NA,2021-12-21 03:35:00
2021,12,21,3,15,30,8.2,11.3,NA,NA,NA,NA,NA,19,NA,14,8.7,NA,NA,2021-12-21 03:15:00
2021,12,21,2,55,30,7.2,NA,NA,NA,NA,NA,NA,18,NA,13,8.7,NA,NA,2021-12-21 02:55:00
2021,12,21,2,35,50,7.7,12.9,NA,NA,NA,NA,NA,18,NA,13,8.7,NA,NA,2021-12-21 02:35:00
2021,12,21,2,15,50,6.7,11.3,NA,NA,NA,NA,NA,18,NA,14,8.7,NA,NA,2021-12-21 02:15:00
2021,12,21,1,55,50,10.3,13.4,NA,NA,NA,NA,NA,18,NA,13,8.7,NA,NA,2021-12-21 01:55:00
2021,12,21,1,35,50,8.2,12.9,NA,NA,NA,NA,NA,18,NA,13,8.7,NA,NA,2021-12-21 01:35:00
2021,12,21,1,15,60,11.8,14.4,NA,NA,NA,NA,NA,18,NA,14,8.7,NA,NA,2021-12-21 01:15:00
2021,12,21,0,55,60,12.4,14.9,NA,NA,NA,NA,NA,17,NA,14,8.7,NA,NA,2021-12-21 00:55:00
2021,12,21,0,35,60,13.4,NA,NA,NA,NA,NA,NA,17,NA,13,2.6,NA,NA,2021-12-21 00:35:00
2021,12,21,0,15,50,10.8,NA,NA,NA,NA,NA,NA,17,NA,14,8.7,NA,NA,2021-12-21 00:15:00
2021,12,20,23,55,60,12.4,NA,NA,NA,NA,NA,NA,17,NA,13,8.7,NA,NA,2021-12-20 23:55:00
2021,12,20,23,35,50,8.8,12.4,NA,NA,NA,NA,NA,17,NA,14,4.3,NA,NA,2021-12-20 23:35:00
2021,12,20,23,15,50,8.8,12.4,NA,NA,NA,NA,NA,16,NA,13,8.7,NA,NA,2021-12-20 23:15:00
2021,12,20,22,55,60,11.8,NA,NA,NA,NA,NA,NA,16,NA,12,2.6,NA,NA,2021-12-20 22:55:00
2021,12,20,22,35,60,10.3,NA,NA,NA,NA,NA,NA,16,NA,13,2.2,NA,NA,2021-12-20 22:35:00
2021,12,20,22,15,70,10.8,NA,NA,NA,NA,NA,NA,16,NA,13,2.2,NA,NA,2021-12-20 22:15:00
2021,12,20,21,55,60,9.8,NA,NA,NA,NA,NA,NA,16,NA,13,1.7,NA,NA,2021-12-20 21:55:00
2021,12,20,21,35,50,7.7,12.4,NA,NA,NA,NA,NA,16,NA,13,2.6,NA,NA,2021-12-20 21:35:00
2021,12,20,21,15,40,6.7,11.8,NA,NA,NA,NA,NA,16,NA,13,2.6,NA,NA,2021-12-20 21:15:00
2021,12,20,20,55,40,5.7,11.3,NA,NA,NA,NA,NA,16,NA,12,7,NA,NA,2021-12-20 20:55:00
2021,12,20,20,35,30,6.7,11.3,NA,NA,NA,NA,NA,16,NA,13,1.7,NA,NA,2021-12-20 20:35:00
2021,12,20,20,15,50,6.7,10.3,NA,NA,NA,NA,NA,16,NA,13,3.5,NA,NA,2021-12-20 20:15:00
2021,12,20,19,55,30,6.7,11.8,NA,NA,NA,NA,NA,16,NA,13,6.1,NA,NA,2021-12-20 19:55:00
2021,12,20,19,35,20,8.8,12.4,NA,NA,NA,NA,NA,16,NA,12,8.7,NA,NA,2021-12-20 19:35:00
2021,12,20,19,15,30,9.3,11.8,NA,NA,NA,NA,NA,16,NA,14,7,NA,NA,2021-12-20 19:15:00
2021,12,20,18,55,30,5.1,8.2,NA,NA,NA,NA,NA,16,NA,13,4.3,NA,NA,2021-12-20 18:55:00
2021,12,20,18,35,30,4.1,NA,NA,NA,NA,NA,NA,16,NA,13,2.2,NA,NA,2021-12-20 18:35:00
2021,12,20,18,15,40,4.6,8.2,NA,NA,NA,NA,NA,16,NA,13,1.7,NA,NA,2021-12-20 18:15:00
2021,12,20,17,55,40,5.1,8.2,NA,NA,NA,NA,NA,16,NA,13,1.5,NA,NA,2021-12-20 17:55:00
2021,12,20,17,35,30,4.6,NA,NA,NA,NA,NA,NA,16,NA,13,1.1,NA,NA,2021-12-20 17:35:00
2021,12,20,17,15,30,7.2,NA,NA,NA,NA,NA,NA,16,NA,13,1.3,NA,NA,2021-12-20 17:15:00
2021,12,20,16,55,30,6.2,NA,NA,NA,NA,NA,NA,17,NA,14,1.7,NA,NA,2021-12-20 16:55:00
2021,12,20,16,35,40,5.1,7.7,NA,NA,NA,NA,NA,17,NA,14,2.2,NA,NA,2021-12-20 16:35:00
2021,12,20,16,15,60,8.8,NA,NA,NA,NA,NA,NA,17,NA,14,2.6,NA,NA,2021-12-20 16:15:00
