,YY,MM,DD,hh,mm,WDIR,WSPD,ATMP,DEWP,VIS,Date
68,2021,12,20,21,35,50.0,7.7,16.0,13.0,2.6,2021-12-20 21:35:00
69,2021,12,20,21,15,40.0,6.7,16.0,13.0,2.6,2021-12-20 21:15:00
70,2021,12,20,20,55,40.0,5.7,16.0,12.0,7.0,2021-12-20 20:55:00
71,2021,12,20,20,35,30.0,6.7,16.0,13.0,1.7,2021-12-20 20:35:00
72,2021,12,20,20,15,50.0,6.7,16.0,13.0,3.5,2021-12-20 20:15:00
73,2021,12,20,19,55,30.0,6.7,16.0,13.0,6.1,2021-12-20 19:55:00
74,2021,12,20,19,35,20.0,8.8,16.0,12.0,8.7,2021-12-20 19:35:00
75,2021,12,20,19,15,30.0,9.3,16.0,14.0,7.0,2021-12-20 19:15:00
76,2021,12,20,18,55,30.0,5.1,16.0,13.0,4.3,2021-12-20 18:55:00
77,2021,12,20,18,35,30.0,4.1,16.0,13.0,2.2,2021-12-20 18:35:00
78,2021,12,20,18,15,40.0,4.6,16.0,13.0,1.7,2021-12-20 18:15:00
79,2021,12,20,17,55,40.0,5.1,16.0,13.0,1.5,2021-12-20 17:55:00
80,2021,12,20,17,35,30.0,4.6,16.0,13.0,1.1,2021-12-20 17:35:00
81,2021,12,20,17,15,30.0,7.2,16.0,13.0,1.3,2021-12-20 17:15:00
82,2021,12,20,16,55,30.0,6.2,17.0,14.0,1.7,2021-12-20 16:55:00
83,2021,12,20,16,35,40.0,5.1,17.0,14.0,2.2,2021-12-20 16:35:00
84,2021,12,20,16,15,60.0,8.8,17.0,14.0,2.6,2021-12-20 16:15:00
85,2021,12,20,15,55,60.0,7.7,17.0,14.0,2.2,2021-12-20 15:55:00
86,2021,12,20,15,35,50.0,6.7,17.0,14.0,2.6,2021-12-20 15:35:00
87,2021,12,20,15,15,50.0,6.7,17.0,14.0,2.2,2021-12-20 15:15:00
88,2021,12,20,14,55,50.0,6.2,17.0,14.0,1.7,2021-12-20 14:55:00
89,2021,12,20,14,35,50.0,5.7,17.0,14.0,5.2,2021-12-20 14:35:00
90,2021,12,20,14,15,40.0,4.6,17.0,14.0,2.6,2021-12-20 14:15:00
91,2021,12,20,13,55,40.0,6.7,17.0,13.0,3.5,2021-12-20 13:55:00
92,2021,12,20,13,35,30.0,6.2,17.0,13.0,7.8,2021-12-20 13:35:00
93,2021,12,20,13,15,30.0,6.2,17.0,14.0,8.7,2021-12-20 13:15:00
94,2021,12,20,12,55,50.0,6.7,17.0,14.0,8.7,2021-12-20 12:55:00
95,2021,12,20,12,35,40.0,6.2,16.0,13.0,8.7,2021-12-20 12:35:00
96,2021,12,20,12,15,50.0,7.7,16.0,13.0,8.7,2021-12-20 12:15:00
97,2021,12,20,11,55,40.0,6.2,16.0,14.0,8.7,2021-12-20 11:55:00
98,2021,12,20,11,35,30.0,5.7,16.0,13.0,7.0,2021-12-20 11:35:00
99,2021,12,20,11,15,60.0,7.2,16.0,13.0,3.5,2021-12-20 11:15:00
100,2021,12,20,10,55,40.0,3.1,16.0,13.0,7.0,2021-12-20 10:55:00
101,2021,12,20,10,35,50.0,3.1,16.0,13.0,8.7,2021-12-20 10:35:00
102,2021,12,20,10,15,20.0,5.1,16.0,13.0,8.7,2021-12-20 10:15:00
103,2021,12,20,9,55,40.0,4.6,16.0,13.0,8.7,2021-12-20 09:55:00
104,2021,12,20,9,35,30.0,8.2,16.0,13.0,8.7,2021-12-20 09:35:00
105,2021,12,20,9,15,20.0,7.2,16.0,13.0,8.7,2021-12-20 09:15:00
106,2021,12,20,8,55,30.0,6.7,16.0,13.0,8.7,2021-12-20 08:55:00
107,2021,12,20,8,35,30.0,5.7,16.0,13.0,8.7,2021-12-20 08:35:00
108,2021,12,20,8,15,20.0,9.3,16.0,13.0,8.7,2021-12-20 08:15:00
109,2021,12,20,7,55,30.0,7.2,16.0,13.0,8.7,2021-12-20 07:55:00
110,2021,12,20,7,35,30.0,5.1,16.0,13.0,8.7,2021-12-20 07:35:00
111,2021,12,20,7,15,40.0,5.7,16.0,13.0,8.7,2021-12-20 07:15:00
112,2021,12,20,6,55,30.0,7.2,16.0,13.0,8.7,2021-12-20 06:55:00
113,2021,12,20,6,35,30.0,5.1,16.0,13.0,8.7,2021-12-20 06:35:00
114,2021,12,20,6,15,30.0,7.2,16.0,13.0,8.7,2021-12-20 06:15:00
115,2021,12,20,5,55,30.0,7.2,16.0,13.0,8.7,2021-12-20 05:55:00
116,2021,12,20,5,35,30.0,6.2,16.0,13.0,8.7,2021-12-20 05:35:00
117,2021,12,20,5,15,20.0,7.2,17.0,13.0,8.7,2021-12-20 05:15:00
118,2021,12,20,4,55,20.0,8.8,17.0,13.0,8.7,2021-12-20 04:55:00
119,2021,12,20,4,35,20.0,3.1,17.0,13.0,8.7,2021-12-20 04:35:00
120,2021,12,20,4,15,20.0,7.7,17.0,13.0,8.7,2021-12-20 04:15:00
121,2021,12,20,3,55,20.0,5.7,16.0,13.0,8.7,2021-12-20 03:55:00
122,2021,12,20,3,35,30.0,8.8,17.0,14.0,8.7,2021-12-20 03:35:00
123,2021,12,20,3,15,30.0,2.1,17.0,13.0,8.7,2021-12-20 03:15:00
124,2021,12,20,2,55,350.0,3.6,17.0,13.0,8.7,2021-12-20 02:55:00
125,2021,12,20,2,35,350.0,3.1,17.0,14.0,8.7,2021-12-20 02:35:00
126,2021,12,20,2,15,20.0,5.7,17.0,14.0,8.7,2021-12-20 02:15:00
127,2021,12,20,1,55,360.0,5.1,17.0,14.0,8.7,2021-12-20 01:55:00
128,2021,12,20,1,35,10.0,4.6,17.0,14.0,8.7,2021-12-20 01:35:00
129,2021,12,20,1,15,10.0,6.2,18.0,14.0,8.7,2021-12-20 01:15:00
130,2021,12,20,0,55,10.0,6.2,17.0,14.0,8.7,2021-12-20 00:55:00
131,2021,12,20,0,35,20.0,7.7,18.0,15.0,8.7,2021-12-20 00:35:00
132,2021,12,20,0,15,20.0,11.3,18.0,14.0,8.7,2021-12-20 00:15:00
133,2021,12,19,23,55,20.0,8.2,18.0,14.0,8.7,2021-12-19 23:55:00
134,2021,12,19,23,35,350.0,4.1,18.0,15.0,8.7,2021-12-19 23:35:00
135,2021,12,19,23,15,350.0,3.1,18.0,15.0,8.7,2021-12-19 23:15:00
136,2021,12,19,22,55,20.0,8.2,18.0,15.0,8.7,2021-12-19 22:55:00
137,2021,12,19,22,35,20.0,5.1,18.0,15.0,8.7,2021-12-19 22:35:00
138,2021,12,19,22,15,20.0,3.1,18.0,15.0,8.7,2021-12-19 22:15:00
139,2021,12,19,21,55,360.0,4.6,18.0,15.0,8.7,2021-12-19 21:55:00
140,2021,12,19,21,35,10.0,6.2,18.0,15.0,8.7,2021-12-19 21:35:00
141,2021,12,19,21,15,20.0,11.3,18.0,15.0,8.7,2021-12-19 21:15:00
142,2021,12,19,20,55,20.0,9.8,18.0,15.0,8.7,2021-12-19 20:55:00
143,2021,12,19,20,35,10.0,4.1,18.0,15.0,8.7,2021-12-19 20:35:00
144,2021,12,19,20,15,10.0,5.7,18.0,16.0,7.8,2021-12-19 20:15:00
145,2021,12,19,19,55,10.0,2.6,20.0,16.0,8.7,2021-12-19 19:55:00
